Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,4,4
Horizontal Delay,0,0
Sample Interval,0.004,0.004
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,46.5,52
Vertical Scale,0.1,0.2
Vertical Position,1.86,2.08
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-18.02,-0.006,0.008
-18.016,-0.006,0
-18.012,-0.006,0.008
-18.008,-0.006,0
-18.004,-0.006,0.008
-18,-0.006,0
-17.996,-0.006,0
-17.992,-0.006,0
-17.988,-0.006,0.008
-17.984,-0.006,0.008
-17.98,-0.006,0.008
-17.976,-0.002,0
-17.972,-0.002,0
-17.968,-0.002,0
-17.964,-0.006,0
-17.96,-0.002,0
-17.956,-0.002,0
-17.952,-0.002,0.008
-17.948,-0.002,0.008
-17.944,-0.006,0.008
-17.94,-0.006,0
-17.936,-0.006,0.008
-17.932,-0.002,0
-17.928,-0.002,0
-17.924,-0.002,0.008
-17.92,-0.006,0
-17.916,-0.006,0
-17.912,-0.006,0.008
-17.908,-0.006,0.008
-17.904,-0.002,0.008
-17.9,-0.002,0.008
-17.896,-0.002,0.008
-17.892,-0.006,0
-17.888,-0.002,0
-17.884,-0.006,0.008
-17.88,-0.006,0.008
-17.876,-0.006,0
-17.872,-0.006,0.008
-17.868,-0.002,0
-17.864,-0.006,0
-17.86,-0.01,0
-17.856,-0.006,0.008
-17.852,-0.006,0
-17.848,-0.006,0.008
-17.844,-0.006,0.008
-17.84,-0.006,0.008
-17.836,-0.006,0.008
-17.832,-0.002,0.008
-17.828,-0.006,0.008
-17.824,-0.006,0
-17.82,-0.006,0
-17.816,-0.002,0.008
-17.812,-0.006,0.008
-17.808,-0.006,0.008
-17.804,-0.006,0
-17.8,-0.006,0.008
-17.796,-0.006,0.008
-17.792,-0.006,0
-17.788,-0.006,0.008
-17.784,-0.006,0.008
-17.78,-0.006,0.008
-17.776,-0.006,0.008
-17.772,-0.01,0.008
-17.768,-0.006,0.008
-17.764,-0.006,0
-17.76,-0.01,0.008
-17.756,-0.006,0.008
-17.752,-0.01,0.008
-17.748,-0.006,0.008
-17.744,-0.006,0.008
-17.74,-0.01,0.008
-17.736,-0.006,0.008
-17.732,-0.002,0
-17.728,-0.006,0.008
-17.724,-0.006,0.008
-17.72,-0.006,0.008
-17.716,-0.006,0
-17.712,-0.01,0.008
-17.708,-0.006,0
-17.704,-0.006,0.008
-17.7,-0.006,0.008
-17.696,-0.006,0.008
-17.692,0.002,0.008
-17.688,-0.002,0.008
-17.684,-0.002,0.008
-17.68,0.002,0.016
-17.676,-0.002,0.008
-17.672,-0.002,0.008
-17.668,-0.002,0.008
-17.664,-0.006,0.008
-17.66,-0.002,0.008
-17.656,-0.002,0
-17.652,-0.002,0.008
-17.648,-0.002,0
-17.644,-0.002,0.008
-17.64,-0.002,0
-17.636,0.002,0
-17.632,0.002,0
-17.628,-0.002,0
-17.624,0.002,0.008
-17.62,-0.006,0
-17.616,0.002,0
-17.612,-0.002,0.008
-17.608,0.002,0.008
-17.604,-0.002,0
-17.6,0.002,0.008
-17.596,0.002,0
-17.592,0.002,0.008
-17.588,0.002,0
-17.584,0.002,0.008
-17.58,0.006,0
-17.576,-0.002,0.008
-17.572,0.002,0.008
-17.568,0.002,0.008
-17.564,-0.002,0
-17.56,0.002,0.016
-17.556,-0.002,0
-17.552,-0.002,0
-17.548,0.002,0.008
-17.544,-0.002,0.008
-17.54,-0.002,0.008
-17.536,-0.002,0.008
-17.532,-0.002,0.008
-17.528,-0.002,0.016
-17.524,-0.002,0.008
-17.52,-0.002,0
-17.516,-0.006,0
-17.512,-0.002,0
-17.508,-0.002,0.008
-17.504,-0.002,0.008
-17.5,0.002,0.008
-17.496,-0.006,0
-17.492,-0.002,0
-17.488,-0.006,0
-17.484,-0.002,0.008
-17.48,-0.002,0.008
-17.476,-0.002,0.008
-17.472,-0.002,0.008
-17.468,-0.002,0.008
-17.464,-0.002,0
-17.46,-0.002,0.008
-17.456,-0.002,0.008
-17.452,-0.006,0.008
-17.448,-0.006,0.008
-17.444,-0.002,0.008
-17.44,-0.002,0.008
-17.436,-0.002,0
-17.432,-0.002,0.008
-17.428,-0.006,0
-17.424,-0.006,0.008
-17.42,-0.006,0
-17.416,-0.006,0
-17.412,0.002,0.008
-17.408,-0.002,0.008
-17.404,-0.002,0.008
-17.4,-0.002,0
-17.396,0.002,0.008
-17.392,-0.002,0.008
-17.388,-0.002,0.008
-17.384,-0.002,0.008
-17.38,-0.006,0
-17.376,-0.006,0.008
-17.372,-0.006,0.016
-17.368,-0.002,0.008
-17.364,-0.002,0.008
-17.36,-0.002,0
-17.356,-0.006,0.008
-17.352,-0.002,0.008
-17.348,-0.002,0.008
-17.344,-0.002,0
-17.34,-0.006,0.008
-17.336,0.002,0
-17.332,-0.002,0
-17.328,0.002,0
-17.324,-0.002,0.008
-17.32,-0.002,0.008
-17.316,-0.006,0
-17.312,-0.002,0.008
-17.308,-0.002,0
-17.304,-0.002,0.008
-17.3,-0.002,0.008
-17.296,-0.002,-0.008
-17.292,0.002,0
-17.288,0.002,0
-17.284,-0.002,0
-17.28,0.002,0.008
-17.276,0.002,0.008
-17.272,-0.002,0
-17.268,-0.002,0
-17.264,-0.002,0.008
-17.26,-0.002,0.008
-17.256,-0.002,0
-17.252,0.002,0
-17.248,-0.002,0.008
-17.244,-0.002,0
-17.24,-0.002,0
-17.236,-0.002,0.008
-17.232,0.002,0.008
-17.228,-0.002,0
-17.224,0.002,0
-17.22,-0.002,0
-17.216,0.002,0.008
-17.212,0.002,0
-17.208,-0.002,0
-17.204,-0.002,0.008
-17.2,-0.002,0.008
-17.196,-0.002,0.008
-17.192,0.002,0.008
-17.188,-0.002,0.008
-17.184,-0.002,-0.008
-17.18,-0.002,0
-17.176,0.002,0
-17.172,-0.002,0.008
-17.168,0.002,0
-17.164,0.002,0
-17.16,0.006,0
-17.156,-0.002,0.008
-17.152,-0.002,0.008
-17.148,0.002,0
-17.144,-0.002,0
-17.14,0.002,0
-17.136,-0.002,0.008
-17.132,-0.002,0
-17.128,-0.002,0
-17.124,0.002,0
-17.12,0.002,0
-17.116,-0.002,0
-17.112,0.002,0
-17.108,0.002,0
-17.104,0.002,0
-17.1,0.002,0
-17.096,0.002,0.008
-17.092,0.002,0
-17.088,0.002,0
-17.084,0.002,0
-17.08,0.002,0
-17.076,0.002,0.008
-17.072,0.002,0
-17.068,0.002,0
-17.064,-0.002,0
-17.06,0.002,0.008
-17.056,-0.002,0
-17.052,0.002,0
-17.048,-0.002,0.008
-17.044,-0.002,0
-17.04,0.002,0
-17.036,0.002,0
-17.032,0.002,0.008
-17.028,0.002,0.008
-17.024,0.002,0
-17.02,-0.002,0.008
-17.016,0.002,0.008
-17.012,-0.002,0
-17.008,0.002,0
-17.004,0.002,0
-17,0.002,0
-16.996,-0.002,0
-16.992,-0.002,0.008
-16.988,0.002,0
-16.984,-0.002,0
-16.98,0.002,0
-16.976,0.002,0.008
-16.972,0.002,0.008
-16.968,0.002,0
-16.964,0.002,0.008
-16.96,-0.002,0.008
-16.956,0.002,0.008
-16.952,0.002,0.008
-16.948,0.002,0.008
-16.944,0.002,0
-16.94,0.002,0.008
-16.936,-0.002,0
-16.932,0.002,0.008
-16.928,-0.002,0
-16.924,-0.002,0.008
-16.92,0.006,0
-16.916,-0.002,0.008
-16.912,-0.002,0.008
-16.908,-0.002,0
-16.904,0.002,0
-16.9,0.002,0.008
-16.896,0.002,0
-16.892,-0.002,0.008
-16.888,-0.002,0.008
-16.884,-0.002,0.008
-16.88,0.002,0
-16.876,-0.002,0
-16.872,-0.002,0.008
-16.868,-0.002,-0.008
-16.864,0.002,0
-16.86,0.002,0
-16.856,0.002,0
-16.852,0.002,0
-16.848,0.002,0
-16.844,-0.002,0
-16.84,-0.002,0
-16.836,0.002,0.008
-16.832,0.002,0
-16.828,0.002,0.008
-16.824,0.002,0.008
-16.82,0.002,0.008
-16.816,0.002,0
-16.812,0.002,0
-16.808,0.002,0.008
-16.804,0.002,0
-16.8,0.002,0
-16.796,0.002,0
-16.792,0.002,0
-16.788,0.002,0
-16.784,0.002,0
-16.78,0.002,0
-16.776,0.002,0
-16.772,0.002,0
-16.768,0.002,0.008
-16.764,0.002,0
-16.76,0.002,0
-16.756,0.002,0
-16.752,0.002,0.016
-16.748,0.002,0.008
-16.744,0.002,0.008
-16.74,0.006,0.008
-16.736,0.002,0.008
-16.732,0.002,0.008
-16.728,0.002,0.008
-16.724,0.002,0.008
-16.72,-0.002,0.016
-16.716,0.002,0.008
-16.712,-0.002,0.016
-16.708,-0.002,0.008
-16.704,-0.002,0.008
-16.7,-0.002,0.008
-16.696,-0.002,0.008
-16.692,-0.006,0
-16.688,-0.006,0.008
-16.684,-0.006,0
-16.68,-0.002,0.008
-16.676,-0.002,0.008
-16.672,-0.006,0.008
-16.668,-0.006,0.008
-16.664,-0.002,0
-16.66,-0.006,0
-16.656,-0.006,0.008
-16.652,-0.01,0.008
-16.648,-0.01,0.008
-16.644,-0.01,0.008
-16.64,-0.006,0.016
-16.636,-0.01,0.008
-16.632,-0.01,0.008
-16.628,-0.01,0.008
-16.624,-0.014,0
-16.62,-0.01,0.016
-16.616,-0.014,0.016
-16.612,-0.01,0.016
-16.608,-0.01,0.016
-16.604,-0.01,0.016
-16.6,-0.01,0.008
-16.596,-0.01,0.016
-16.592,-0.01,0.008
-16.588,-0.006,0.008
-16.584,-0.006,0.016
-16.58,-0.006,0.016
-16.576,-0.006,0.016
-16.572,-0.006,0.016
-16.568,-0.006,0.008
-16.564,-0.006,0.008
-16.56,-0.006,0.008
-16.556,-0.006,0.008
-16.552,-0.002,0.016
-16.548,-0.006,0.016
-16.544,-0.006,0.016
-16.54,-0.006,0.008
-16.536,-0.002,0.016
-16.532,-0.006,0.016
-16.528,-0.002,0.016
-16.524,-0.002,0.016
-16.52,-0.002,0.008
-16.516,-0.002,0.016
-16.512,-0.006,0.008
-16.508,-0.006,0.008
-16.504,-0.002,0.016
-16.5,-0.006,0.016
-16.496,-0.002,0.008
-16.492,-0.006,0.008
-16.488,-0.002,0.008
-16.484,-0.006,0.016
-16.48,-0.002,0.016
-16.476,-0.002,0.008
-16.472,-0.002,0.008
-16.468,-0.002,0.016
-16.464,-0.006,0.008
-16.46,-0.006,0.008
-16.456,-0.006,0.016
-16.452,-0.002,0.008
-16.448,-0.002,0.008
-16.444,-0.002,0.016
-16.44,-0.006,0.008
-16.436,-0.006,0.008
-16.432,-0.006,0.008
-16.428,-0.006,0.008
-16.424,-0.006,0.008
-16.42,-0.002,0.016
-16.416,-0.006,0.016
-16.412,-0.01,0.016
-16.408,-0.014,0.008
